"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D8%A8%D9%88%D8%AA%D9%8A%D9%83%E2%80%AD/data=!4m7!3m6!1s0x3e2f038ef6aae0b7:0xb3c800f99bde422c!8m2!3d24.7029535!4d46.6786015!16s%2Fg%2F11c3_mljh0!19sChIJt-Cq9o4DLz4RLELem_kAyLM?authuser=0&hl=ar&rclk=1","برجر بوتيك","4.1","(15,575)","·","$$$","مطعم","·","","·","شارع موسى بن نصير","مفتوح","⋅ يغلق ١ ص","https://lh5.googleusercontent.com/p/AF1QipN-yDuAW-X0wOlwLshQuEtu8fS-p5T1WdajlRFA=w89-h92-k-no","الجلوس داخل المكان","·","الإيصال إلى السيارة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%87%D9%86%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x3e2ee5f7bfcae8ab:0xe568c25bae179935!8m2!3d24.7992117!4d46.5976377!16s%2Fg%2F11q9d7dc69!19sChIJq-jKv_flLj4RNZkXrlvCaOU?authuser=0&hl=ar&rclk=1","برجر هنش","4.5","(5,859)","·","$$","هامبرغر","·","","·","طريق أنس ابن مالك","مفتوح","⋅ يغلق ٣:٣٠ ص","https://lh5.googleusercontent.com/p/AF1QipPZx7-HBwcAaEqZOdTJLwdwFElrSjn-GOS3M-Ne=w80-h94-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%88+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f0372d5551f29:0x1e7183417e8f978f!8m2!3d24.6968834!4d46.7019045!16s%2Fg%2F11bxfqbq2r!19sChIJKR9V1XIDLz4Rj5ePfkGDcR4?authuser=0&hl=ar&rclk=1","برجر و برجر","3.8","(475)","·","$$","هامبرغر","·","","MPW2+QQ2، طريق الأمير سلطان بن عبدالعزيز","","مفتوح","⋅ يغلق ٢ ص","https://lh5.googleusercontent.com/p/AF1QipPbM7spK8t6T6oNY7KUvuEYiGjWowmx-TX16j5w=w80-h106-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%B3%D8%A7%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3896b87662b:0x57320c30e188c2f2!8m2!3d24.7856846!4d46.6458027!16s%2Fg%2F11rzpnlz3t!19sChIJK2aHa4njLj4R8sKI4TAMMlc?authuser=0&hl=ar&rclk=1","ساين","4.4","(8,619)","·","$$","هامبرغر","·","","·","حي, 3534 طريق الثمامة","مفتوح","⋅ يغلق ٤ ص","https://lh5.googleusercontent.com/p/AF1QipN3oiJA8NxuadEqAhDB1dh38DowHNwvRETR5lyD=w138-h92-k-no","الجلوس داخل المكان","·","خدمة الطلب أثناء القيادة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%B1%D9%8A%D8%AC%D9%84+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2ee4ba13b4cff7:0xbeb75d8878268a67!8m2!3d24.8285657!4d46.6601207!16s%2Fg%2F11f31_hb1_!19sChIJ98-0E7rkLj4RZ4omeIhdt74?authuser=0&hl=ar&rclk=1","ريجل برجر","4.4","(5,722)","·","$$$","هامبرغر","·","","·","⋅ يغلق ٢:٣٠ ص","Abu Bakr Street","مفتوح","https://lh5.googleusercontent.com/p/AF1QipMyWSTvQ1yHZqgQh5WAhx5rmV5hddZ2jmvHLVf5=w92-h92-k-no","الجلوس داخل المكان","·","الإيصال إلى السيارة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%B3%D9%88+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2efd516dc9f0d5:0x54aae8b9cb57b1f1!8m2!3d24.7774089!4d46.7260348!16s%2Fg%2F11jj1b0kn8!19sChIJ1fDJbVH9Lj4R8bFXy7noqlQ?authuser=0&hl=ar&rclk=1","سو برجر","4.3","(1,211)","","","هامبرغر","","","","","مفتوح","⋅ يغلق ١ ص","https://lh5.googleusercontent.com/p/AF1QipMTMsTOYi32Z6NtNr2Nk58wkd-4JGzgfPlomzor=w138-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A3%D9%88+%D8%AC%D9%8A+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x1580a12c277115d7:0x15dd95f56659130b!8m2!3d24.7527928!4d46.6388955!16s%2Fg%2F11q9db__tb!19sChIJ1xVxJyyhgBURCxNZZvWV3RU?authuser=0&hl=ar&rclk=1","أو جي برجر","4.3","(754)","","","هامبرغر","·","","·","⋅ يغلق ٣ ص","Dist, 7940 At Takhassusi 4189","مفتوح","","الجلوس داخل المكان","·","الإيصال إلى السيارة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%B3%D9%86+%D8%A7%D9%88%D9%81+%D8%A3+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f1da60817ef39:0x48c8fb39dd3224b1!8m2!3d24.7265758!4d46.6440888!16s%2Fg%2F11rv71qw8z!19sChIJOe8XCKYdLz4RsSQy3Tn7yEg?authuser=0&hl=ar&rclk=1","سن اوف أ برجر","4.1","(317)","","","هامبرغر","·","","PJGV+JJP, طريق الأمير تركي بن عبدالعزيز","","مفتوح","⋅ يغلق ٢ ص","","الجلوس داخل المكان","·","الإيصال إلى السيارة","·","التسليم بدون تلامس"
